1030,Java-Intermediate+Java-Beginner,.NET-Intermediate+ WPF-Intermediate,823,822,1000
1118,Java-Intermediate+Java-Beginner,.NET-Intermediate+ WPF-Intermediate,821,820,1000
2131,Java-Intermediate+Java-Beginner,Java-Intermediate,752,751,855
967,Java-Intermediate+Java-Beginner,.NET-Intermediate+ WPF-Intermediate,819,818,1000
1827,Java-Intermediate+Java-Beginner,.NET-Intermediate+ WPF-Intermediate,796,795,1000
1825,Java-Intermediate+Java-Beginner,Java-Intermediate,808,807,850
1572,Java-Intermediate+Java-Beginner,.NET-Intermediate+ WPF-Intermediate,794,793,1000
1116,Java-Intermediate+Java-Beginner,.NET-Intermediate+ WPF-Intermediate,792,791,1000
1956,Java-Intermediate+Java-Beginner,Java-Intermediate,516,515,855
1537,Java-Intermediate+Java-Beginner,Java-Beginner+ MongoDB-Beginner,997,789,1000
1152,Java-Intermediate+Java-Beginner,Java-Beginner+ MongoDB-Beginner,996,788,1000
1623,Java-Intermediate+Java-Beginner,Java-Beginner+ MongoDB-Beginner,995,787,1000
1487,Java-Intermediate+Java-Beginner,Java-Beginner+ MongoDB-Beginner,989,786,1000
1313,Java-Intermediate+Java-Beginner,Java-Beginner+ MongoDB-Beginner,988,785,1000
2063,Java-Intermediate+Java-Beginner,Java-Intermediate,506,505,855
1687,Java-Intermediate+Java-Beginner,Java-Intermediate,750,749,850
1323,Java-Intermediate+Java-Beginner,Java-Intermediate,514,513,850
1720,Java-Intermediate+Java-Beginner,Java-Intermediate,500,499,880
1533,Java-Intermediate+Java-Beginner,Java-Intermediate,499,498,850
2199,Java-Beginner,Java-Beginner,523,578,860
2324,Java-Beginner,Java-Beginner,202,817,870
2919,Java-Beginner,Java-Beginner,201,816,870
2298,Java-Beginner,Java-Beginner,200,815,870
3927,Java-Beginner,Java-Beginner,526,581,890
3374,Java-Beginner,Java-Beginner,199,812,870
3939,Java-Beginner,Java-Beginner,525,580,890
2598,Java-Beginner,Java-Beginner,198,811,870
3268,Java-Beginner,Java-Beginner,197,810,870
3592,Java-Beginner,Java-Beginner,511,84,895
2658,Java-Beginner,Java-Beginner,89,809,870
3425,Java-Beginner,Java-Beginner,88,806,870
2177,Java-Beginner,Java-Beginner,816,517,860
2334,Java-Beginner,Java-Beginner,87,805,870
2877,Java-Beginner,Java-Beginner,86,804,870
2409,Java-Beginner,Java-Beginner+ MongoDB-Beginner,790,784,1000
3608,Java-Beginner,Java-Beginner,524,579,890
3128,Java-Beginner,Java-Expert+ MongoDB-Expert,783,782,1000
1927,Java-Beginner,Java-Beginner,810,510,860
2342,Java-Beginner,Java-Expert+ MongoDB-Expert,782,781,1000
2312,Java-Beginner,.NET-Intermediate+ WPF-Intermediate,779,778,1000
2768,Java-Beginner,.NET-Intermediate+ WPF-Intermediate,776,775,1000
3409,Java-Beginner,Java-Beginner,512,85,855
2235,Java-Beginner,Java-Beginner,712,582,855
3364,Java-Beginner,.NET-Intermediate+ Sharepoint-Intermediate,36,773,1000
3661,Java-Beginner,Java-Beginner,817,518,850
2653,Java-Beginner,.NET-Expert+ WPF-Expert,110,763,1000
3326,Java-Beginner,Java-Beginner,692,503,895
3002,Java-Beginner,Java-Beginner,85,752,870
2311,Java-Beginner,Java-Beginner,84,716,870
3281,Java-Beginner,Java-Beginner,83,711,870
2712,Java-Beginner,Java-Beginner,82,691,870
3636,Java-Beginner,Java-Beginner,690,502,850
3142,Java-Beginner,Java-Beginner,513,86,895
3230,Java-Beginner,.NET-Expert+ SQL Server-Expert,902,602,1000
3631,Java-Beginner,Java-Beginner,687,501,850
2756,Java-Beginner,Java-Beginner,81,689,870
3690,Java-Beginner,Java-Beginner,80,686,870
2657,Java-Beginner,.NET-Beginner+ WPF-Beginner,599,598,1000
3789,Java-Beginner,.NET-Beginner+ WPF-Beginner,598,597,1000
702,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,270,722,870
509,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,262,546,870
811,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,534,466,800
173,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,1,0,800
325,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,295,53,895
223,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,468,533,850
726,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,467,527,850
288,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,465,467,850
208,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,136,135,800
786,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,51,50,800
571,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,50,49,800
746,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,30,29,800
316,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,29,28,800
659,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,528,464,800
301,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,726,743,895
734,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,54,544,800
583,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,261,545,800
452,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,28,27,800
665,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Expert+ Oracle-Expert,27,26,800
166,Java-Expert+ Oracle-Expert+Java-Intermediate+Java-Beginner+ Oracle-Intermediate+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,269,708,800
1888,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,743,542,850
1765,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,725,742,855
968,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,547,540,870
2253,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,379,297,880
1740,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,378,296,865
963,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,546,539,870
945,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,545,538,870
1745,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,.NET-Beginner+ WPF-Beginner,481,480,1000
1003,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,.NET-Beginner+ WPF-Beginner,480,479,1000
845,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,6,5,870
1590,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,5,4,870
1523,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,4,3,870
1039,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,357,295,880
987,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,544,537,870
1794,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,543,536,870
1724,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,.NET-Beginner+ WPF-Beginner,479,478,1000
859,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate,274,273,870
1891,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,299,260,855
1879,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,355,270,850
856,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,354,269,850
2130,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,298,138,880
1978,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,297,137,880
992,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,542,535,870
974,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,541,530,870
925,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,540,529,870
1464,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,539,528,870
1066,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,538,378,870
1696,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,537,377,870
2220,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,724,725,890
985,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,536,356,870
957,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,531,355,800
1695,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,530,354,800
1771,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,529,353,800
2184,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,723,724,890
927,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,139,352,800
988,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,138,351,800
901,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,137,298,800
1639,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate,273,272,870
1379,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate,272,271,870
2219,Java-Intermediate+ Oracle-Intermediate+Java-Beginner+ Oracle-Beginner,.NET-Beginner+ Sharepoint-Beginner,434,433,1000
601,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,356,294,875
547,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,3,2,870
226,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,296,136,880
354,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,2,1,800
345,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,353,268,850
487,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Expert,535,267,800
503,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Expert,275,102,800
379,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Expert,260,68,800
330,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,352,261,850
555,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,709,684,875
342,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate,264,263,870
558,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate,263,262,870
456,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Expert,498,259,850
736,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate,208,207,870
228,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate,207,206,870
733,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,744,543,880
377,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate,206,205,870
620,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate,205,204,870
290,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Expert,497,178,850
682,Java-Expert+ Oracle-Intermediate+Java-Intermediate+Java-Beginner+ Oracle-Beginner,Java-Intermediate+ Oracle-Intermediate,685,541,875
3362,Java-Beginner+ Oracle-Beginner,.NET-Beginner+ Sharepoint-Beginner,433,432,1000
2000,Java-Beginner+ Oracle-Beginner,.NET-Beginner+ Sharepoint-Beginner,432,431,1000
3652,Java-Beginner+ Oracle-Beginner,.NET-Beginner+ Sharepoint-Beginner,431,430,1000
2055,Java-Beginner+ Oracle-Beginner,.NET-Beginner+ Sharepoint-Beginner,430,429,1000
2469,Java-Beginner+ Oracle-Beginner,.NET-Intermediate+ Sharepoint-Beginner,833,426,1000
3963,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,394,316,890
2278,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,314,265,895
3065,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,313,264,850
2556,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,312,76,885
3117,Java-Beginner+ Oracle-Beginner,.NET-Intermediate+ Sharepoint-Beginner,427,425,1000
3551,Java-Beginner+ Oracle-Beginner,.NET-Intermediate+ Sharepoint-Beginner,426,424,1000
3458,Java-Beginner+ Oracle-Beginner,.NET-Intermediate+ Sharepoint-Beginner,425,419,1000
3361,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,311,75,890
3522,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,393,315,900
3246,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,392,314,900
3386,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,391,313,900
2099,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,390,312,900
3166,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,389,311,900
3693,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,388,310,900
3866,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,387,309,900
3144,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,310,74,850
2466,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,386,308,900
3274,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,385,307,900
2232,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,384,306,900
3837,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,383,305,900
3033,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,382,304,900
3010,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,309,73,850
2616,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,64,58,870
3258,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,63,57,870
2306,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,62,56,870
3593,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,61,55,870
3051,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,60,54,870
3459,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,381,303,900
2035,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,380,302,900
3243,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,265,744,870
3559,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,266,745,870
3509,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,267,746,870
3494,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,308,72,850
3674,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,307,71,890
1976,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,318,301,900
3175,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,317,300,900
3305,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,316,299,900
2363,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,315,266,900
2036,Java-Beginner+ Oracle-Beginner,Java-Beginner,49,47,870
4322,Java-Beginner+ Oracle-Beginner,Java-Beginner,48,46,870
3329,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,306,70,890
3111,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,597,388,870
2093,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,596,387,870
4563,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,595,386,870
3876,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,747,391,890
3081,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,746,390,895
3048,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,594,385,870
3665,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,593,384,870
2195,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,592,383,870
2207,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,591,382,870
3997,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,590,381,870
3726,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,589,380,870
3917,Java-Beginner+ Oracle-Beginner,Java-Beginner,510,83,890
3400,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,588,379,870
3467,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,587,317,870
3612,Java-Beginner+ Oracle-Beginner,Java-Beginner,508,81,890
3344,Java-Beginner+ Oracle-Beginner,Java-Beginner,586,201,870
3823,Java-Beginner+ Oracle-Beginner,Java-Beginner,509,82,890
3776,Java-Beginner+ Oracle-Beginner,Java-Beginner,585,200,870
3678,Java-Beginner+ Oracle-Beginner,Java-Beginner,584,199,870
3502,Java-Beginner+ Oracle-Beginner,Java-Beginner,504,79,855
2287,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,745,389,890
3032,Java-Beginner+ Oracle-Beginner,Java-Beginner,583,198,870
3643,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,77,596,870
3641,Java-Beginner+ Oracle-Beginner,Java-Beginner+ Oracle-Beginner,76,595,870
2089,Android-Beginner,Android-Beginner,40,39,870
406,.NET-Intermediate+ WPF-Intermediate+.NET-Beginner+ WPF-Beginner,.NET-Intermediate+ WPF-Intermediate,893,892,850
676,.NET-Intermediate+ WPF-Intermediate+.NET-Beginner+ WPF-Beginner,.NET-Intermediate+ WPF-Intermediate,865,864,850
1261,.NET-Intermediate+ WPF-Intermediate+.NET-Beginner+ WPF-Beginner,.NET-Intermediate+ WPF-Intermediate,769,768,850
1987,iOS-Beginner,.NET-Intermediate+ Sharepoint-Beginner,420,418,1000
1356,.NET-Intermediate+ WPF-Intermediate+.NET-Beginner+ WPF-Beginner,.NET-Intermediate+ WPF-Intermediate,424,423,865
1998,Android-Beginner,Android-Beginner,41,40,870
762,.NET-Intermediate+ WPF-Intermediate+.NET-Beginner+ WPF-Beginner,.NET-Intermediate+ WPF-Intermediate,765,764,850
2033,Android-Beginner,Android-Beginner,43,42,870
732,.NET-Intermediate+ WPF-Intermediate+.NET-Beginner+ WPF-Beginner,.NET-Intermediate+ WPF-Intermediate,623,622,870
1510,Android-Expert+Android-Intermediate+Android-Beginner,Android-Expert,104,103,800
893,Android-Expert+Android-Intermediate+Android-Beginner,Android-Intermediate,288,287,865
1222,iOS-Expert+iOS-Intermediate+iOS-Beginner,.NET-Expert+ WPF-Expert,764,371,1000
1475,iOS-Expert+iOS-Intermediate+iOS-Beginner,iOS-Expert,105,104,800
1638,Android-Beginner,Android-Beginner,42,41,870
1669,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,95,94,870
1846,Android-Beginner,Android-Beginner,127,126,860
1628,Java-Intermediate+ MongoDB-Intermediate+Java-Beginner+ MongoDB-Beginner,Java-Intermediate+ MongoDB-Intermediate,94,93,870
976,iOS-Expert+iOS-Intermediate+iOS-Beginner,iOS-Intermediate,289,276,865
1015,.NET-Intermediate+ WPF-Intermediate+.NET-Beginner+ WPF-Beginner,.NET-Intermediate+ WPF-Intermediate,423,422,865
1930,iOS-Beginner,.Net-Intermediate,334,333,1000
